,bin,date,plot,numb.stalks,max.inflo.height.mm,site,basal.area.cm2,
38,BFXL3,7/10/2020,30715,18,346,Big Fill,23.92,elyely
39,BFXL4,7/10/2020,30715,13,316,Big Fill,18.17,elyely
40,BFXL5,7/10/2020,30715,46,466,Big Fill,17.09,elyely
41,BSXS1,8/30/2019,2004-46,1,346,Black Springs,1.421121,elyely
42,BSXS2,8/30/2019,2004-46,0,0,Black Springs,1.064573,elyely
43,BSXS3,8/30/2019,2004-46,1,457,Black Springs,1.467155,elyely
44,BSXS4,8/30/2019,2004-46,0,0,Black Springs,0.859054,elyely
45,BSXS5,8/30/2019,2004-46,0,0,Black Springs,1.203324,elyely
46,BSS1,8/30/2019,2004-46,2,372,Black Springs,5.469816,elyely
47,BSS2,8/30/2019,2004-46,1,459,Black Springs,7.679,elyely
48,BSS3,8/30/2019,2004-46,1,446,Black Springs,15.26243,elyely
49,BSS4,8/30/2019,2004-46,3,460,Black Springs,12.71699,elyely
50,BSS5,8/30/2019,2004-46,1,452,Black Springs,8.861819,elyely
51,BSS6,8/30/2019,2004-46,1,441,Black Springs,13.08651,elyely
52,BSS7,8/30/2019,2004-46,1,434,Black Springs,8.221203,elyely
53,BSS8,8/30/2019,2004-46,1,560,Black Springs,3.593869,elyely
54,BSS9,8/30/2019,2004-46,1,359,Black Springs,4.452926,elyely
55,BSS10,8/30/2019,2004-46,1,400,Black Springs,3.148563,elyely
56,BSM1,8/30/2019,30742,5,562,Black Springs,35.00354,elyely
57,BSM2,8/20/2020,30742,2,492,Black Springs,14.22,elyely
58,BSM3,8/20/2020,30742,1,434,Black Springs,18.73,elyely
59,BSM4,8/20/2020,30743,3,588,Black Springs,20.95,elyely
60,BSM5,8/20/2020,30743,8,542,Black Springs,16.42,elyely
61,BSM6,8/20/2020,30743,6,480,Black Springs,17.77,elyely
62,BSM7,8/20/2020,30743,6,435,Black Springs,18.25,elyely
63,BSM8,8/20/2020,30743,5,486,Black Springs,17.46,elyely
64,BSM9,8/20/2020,30743,8,544,Black Springs,17.74,elyely
65,BSM10,8/20/2020,30743,7,456,Black Springs,19.21,elyely
66,BSL1,8/30/2019,30742,6,728,Black Springs,66.38213,elyely
67,BSL2,8/20/2020,30742,6,486,Black Springs,43.82,elyely
68,BSL3,8/20/2020,30742,4,440,Black Springs,32.82,elyely
69,BSL4,8/20/2020,30742,4,423,Black Springs,29.03,elyely
70,BSL5,8/20/2020,30742,5,486,Black Springs,27.73,elyely
71,BSL6,8/20/2020,30743,0,0,Black Springs,34.99,elyely
72,BSL7,8/20/2020,30743,12,344,Black Springs,39.97,elyely
73,BSL8,8/20/2020,30743,18,410,Black Springs,39.35,elyely
74,BSL9,8/20/2020,30743,7,521,Black Springs,24.98,elyely
75,BSL10,8/20/2020,30743,15,439,Black Springs,27.29,elyely
76,BSXL1,8/30/2019,0,23,673,Black Springs,150.3522,elyely
77,BSXL2,8/20/2020,30742,11,485,Black Springs,105.89,elyely
78,BSXL3,8/20/2020,30743,17,492,Black Springs,82.64,elyely
79,BSXL4,8/20/2020,30743,5,379,Black Springs,44.42,elyely
80,BSXL5,8/20/2020,30743,5,382,Black Springs,76.78,elyely
81,FPXS 1,8/16/2019,30731,1,486,Fry Park,1.987429,elyely
82,FPXS 2,8/16/2019,30731,1,370,Fry Park,1.22419,elyely
83,FPXS 3,8/16/2019,30731,1,540,Fry Park,2.395233,elyely
84,FPXS 4,8/16/2019,30731,1,410,Fry Park,0.923188,elyely
85,FPXS 5,8/16/2019,30731,0,0,Fry Park,1.549545,elyely
86,FPS1,8/16/2019,30731,2,462,Fry Park,3.302889,elyely
87,FPS2,8/16/2019,30731,3,560,Fry Park,13.98533,elyely
88,FPS3,8/16/2019,30731,1,457,Fry Park,5.341226,elyely
89,FPS4,8/16/2019,30731,1,490,Fry Park,7.781658,elyely
90,FPS5,8/16/2019,30731,1,348,Fry Park,9.474499,elyely
91,FPS6,8/16/2019,30731,1,657,Fry Park,8.465559,elyely
92,FPS7,8/16/2019,30731,5,600,Fry Park,14.08734,elyely
93,FPS8,8/16/2019,30731,2,492,Fry Park,11.68415,elyely
94,FPS9,8/16/2019,30731,4,430,Fry Park,10.5636,elyely
95,FPS10,8/16/2019,30731,3,506,Fry Park,8.0734,elyely
96,FPM1,8/16/2019,30731,8,519,Fry Park,38.54077,elyely
98,FPM3,8/16/2019,30731,5,578,Fry Park,29.54814,elyely
99,FPM4,8/16/2019,30731,6,525,Fry Park,27.38422,elyely
100,FPM5,8/16/2019,30731,5,460,Fry Park,29.75601,elyely
106,FPL1,8/16/2019,30731,5,460,Fry Park,106.1631,elyely
107,FPL2,8/16/2019,30731,17,727,Fry Park,87.56358,elyely
116,FPXL 1,8/23/2019,30736,25,610,Fry Park,211.0076,elyely
117,FPXL 2,8/23/2019,30736,33,685,Fry Park,197.3407,elyely
118,FPXL 3,8/23/2019,30736,21,929,Fry Park,173.6989,elyely
119,FPXL 4,8/23/2019,30736,27,791,Fry Park,184.9577,elyely
120,FPXL 5,8/23/2019,30736,26,626,Fry Park,203.2967,elyely
121,S1XS1,9/5/2020,21114,2,593,FVEF S1,1.4,elyely
122,S1XS2,9/5/2020,21114,1,361,FVEF S1,0.75,elyely
123,S1XS3,9/5/2020,21114,1,389,FVEF S1,0.82,elyely
124,S1XS4,9/5/2020,21114,1,339,FVEF S1,1.99,elyely
125,S1XS5,9/5/2020,21174,1,522,FVEF S1,1.15,elyely
126,S1S1,9/5/2020,21114,1,419,FVEF S1,2.86,elyely
127,S1S2,9/5/2020,21114,2,386,FVEF S1,4.06,elyely
128,S1S3,9/5/2020,21114,4,382,FVEF S1,6.74,elyely
129,S1S4,9/5/2020,21114,3,311,FVEF S1,3.1,elyely
130,S1S5,9/5/2020,21114,2,463,FVEF S1,5.52,elyely
131,S1S6,9/5/2020,21114,6,474,FVEF S1,5.39,elyely
132,S1S7,9/5/2020,21114,2,601,FVEF S1,5.64,elyely
133,S1S8,9/5/2020,21114,1,464,FVEF S1,4.81,elyely
134,S1S9,9/5/2020,21174,3,500,FVEF S1,3.26,elyely
135,S1S10,9/5/2020,21174,3,570,FVEF S1,6.65,elyely
136,S1M1,9/5/2020,21114,0,314,FVEF S1,12.05,elyely
137,S1M2,9/5/2020,21114,1,352,FVEF S1,11.58,elyely
138,S1M3,9/5/2020,21114,0,0,FVEF S1,11.15,elyely
139,S1M4,9/5/2020,21114,2,598,FVEF S1,8.71,elyely
140,S1M5,9/5/2020,21114,1,278,FVEF S1,11.29,elyely
141,S1M6,9/5/2020,21174,3,449,FVEF S1,12.14,elyely
142,S1M7,9/5/2020,21174,6,671,FVEF S1,13.85,elyely
143,S1M8,9/5/2020,21174,4,500,FVEF S1,11.67,elyely
144,S1M9,9/5/2020,21174,4,471,FVEF S1,12.85,elyely
145,S1M10,9/5/2020,21174,4,483,FVEF S1,9.01,elyely
146,S1L1,9/5/2020,21114,3,535,FVEF S1,22.31,elyely
147,S1L2,9/5/2020,21114,10,639,FVEF S1,22.59,elyely
148,S1L3,9/10/2020,21114,1,497,FVEF S1,18.26,elyely
149,S1L4,9/10/2020,21114,4,509,FVEF S1,18.35,elyely
150,S1L5,9/10/2020,21269,5,520,FVEF S1,22.56,elyely
151,S1L6,9/10/2020,21269,4,517,FVEF S1,19.69,elyely
152,S1L7,9/10/2020,21269,6,538,FVEF S1,26.93,elyely
153,S1L8,9/10/2020,21269,3,460,FVEF S1,16.53,elyely
154,S1L9,9/10/2020,21262,5,499,FVEF S1,18.85,elyely
155,S1L10,9/10/2020,21262,1,484,FVEF S1,20.08,elyely
156,S1XL1,9/5/2020,21114,2,455,FVEF S1,32.37,elyely
157,S1XL2,9/10/2020,21174,7,525,FVEF S1,35.18,elyely
158,S1XL3,9/10/2020,21269,8,621,FVEF S1,43.97,elyely
159,S1XL4,9/10/2020,21269,6,586,FVEF S1,38.42,elyely
160,S1XL5,9/10/2020,21262,4,475,FVEF S1,30.89,elyely
161,S2XS1,8/21/2019,22126,1,530,FVEF S2,1.566159,elyely
162,S2XS2,8/21/2019,22126,1,445,FVEF S2,0.838241,elyely
163,S2XS3,8/21/2019,22126,1,340,FVEF S2,1.185844,elyely
164,S2XS4,8/21/2019,22126,1,374,FVEF S2,0.930844,elyely
165,S2XS5,8/21/2019,22126,1,650,FVEF S2,0.711253,elyely
166,S2S1,8/21/2019,22126,2,293,FVEF S2,3.67343,elyely
167,S2S2,8/21/2019,22126,4,455,FVEF S2,5.042525,elyely
168,S2S3,8/21/2019,22126,4,371,FVEF S2,8.624496,elyely
169,S2S4,8/21/2019,22126,1,697,FVEF S2,3.108547,elyely
170,S2S5,8/21/2019,22126,1,473,FVEF S2,4.932799,elyely
171,S2S6,8/21/2019,22126,1,630,FVEF S2,2.661653,elyely
172,S2S7,8/21/2019,22126,1,509,FVEF S2,9.253377,elyely
173,S2S8,8/21/2019,22126,1,413,FVEF S2,6.468555,elyely
174,S2S9,8/21/2019,22126,2,483,FVEF S2,4.114229,elyely
175,S2S10,8/21/2019,22126,1,526,FVEF S2,2.523312,elyely
176,S2M1,8/21/2019,22126,2,623,FVEF S2,24.8493,elyely
177,S2M2,8/21/2019,22126,0,0,FVEF S2,15.77076,elyely
178,S2M3,8/21/2019,22126,3,547,FVEF S2,7.471353,elyely
179,S2M4,8/21/2019,22126,1,575,FVEF S2,21.69315,elyely
180,S2M5,8/21/2019,22156,6,537,FVEF S2,15.05615,elyely
181,S2M6,8/21/2019,22156,4,461,FVEF S2,11.04853,elyely
182,S2M7,8/21/2019,22156,2,444,FVEF S2,7.834245,elyely
183,S2M8,8/21/2019,22156,8,623,FVEF S2,17.07277,elyely
184,S2M9,9/4/2020,22156,6,475,FVEF S2,17.52,elyely
185,S2M10,9/4/2020,22156,5,505,FVEF S2,7.43,elyely
186,S2L1,8/21/2019,22126,3,478,FVEF S2,31.15315,elyely
187,S2L2,8/21/2019,22126,5,605,FVEF S2,33.00549,elyely
188,S2L3,8/21/2019,22126,3,542,FVEF S2,30.95064,elyely
189,S2L4,8/21/2019,22156,10,700,FVEF S2,39.62861,elyely
190,S2L5,9/4/2020,22156,6,554,FVEF S2,19.92,elyely
191,S2L6,9/5/2020,22156,1,480,FVEF S2,14.33,elyely
192,S2L7,9/6/2020,22156,6,582,FVEF S2,19.9,elyely
193,S2L8,9/7/2020,22156,0,0,FVEF S2,25.8,elyely
194,S2L9,9/8/2020,22156,6,615,FVEF S2,27.9,elyely
195,S2L10,9/9/2020,22156,1,571,FVEF S2,21.1,elyely
196,S2XL 1,8/21/2019,22126,3,547,FVEF S2,51.354,elyely
197,S2XL 2,8/21/2019,22126,9,473,FVEF S2,52.98122,elyely
198,S2XL 3,8/21/2019,22126,9,930,FVEF S2,98.09944,elyely
199,S2XL 4,8/21/2019,22126,7,502,FVEF S2,52.62512,elyely
200,S2XL 5,8/21/2019,22126,14,621,FVEF S2,114.7812,elyely
201,S3XS1,9/3/2020,23155,1,489,FVEF S3,1.59,elyely
202,S3XS2,9/3/2020,23155,1,425,FVEF S3,0.8,elyely
203,S3XS3,9/3/2020,23155,0,0,FVEF S3,0.83,elyely
204,S3XS4,9/3/2020,23159,1,445,FVEF S3,0.37,elyely
205,S3XS5,9/3/2020,23159,1,402,FVEF S3,1.21,elyely
206,S3S1,9/3/2020,23155,2,541,FVEF S3,4.12,elyely
207,S3S2,9/3/2020,23155,0,0,FVEF S3,3.54,elyely
208,S3S3,9/3/2020,23159,1,491,FVEF S3,4.13,elyely
209,S3S4,9/3/2020,23159,1,379,FVEF S3,3.45,elyely
210,S3S5,9/3/2020,23159,1,576,FVEF S3,6.37,elyely
211,S3S6,9/3/2020,23159,1,416,FVEF S3,5.71,elyely
212,S3S7,9/3/2020,23159,3,458,FVEF S3,10.9,elyely
213,S3S8,9/3/2020,23159,1,416,FVEF S3,4.69,elyely
214,S3S9,9/3/2020,23159,0,0,FVEF S3,5.39,elyely
215,S3S10,9/10/2020,23155,1,447,FVEF S3,3.8,elyely
216,S3M1,9/3/2020,23155,3,342,FVEF S3,18.73,elyely
217,S3M2,9/3/2020,23155,1,506,FVEF S3,16.62,elyely
218,S3M3,9/3/2020,23155,1,465,FVEF S3,11.76,elyely
219,S3M4,9/3/2020,23159,2,389,FVEF S3,16.7,elyely
220,S3M5,9/3/2020,23159,3,689,FVEF S3,12.71,elyely
221,S3M6,9/10/2020,23155,2,501,FVEF S3,16.88,elyely
222,S3M7,9/10/2020,23155,0,0,FVEF S3,8.34,elyely
223,S3M8,9/10/2020,23155,3,577,FVEF S3,11.57,elyely
224,S3M9,9/10/2020,23159,2,457,FVEF S3,9.79,elyely
225,S3M10,9/10/2020,23159,1,406,FVEF S3,8.66,elyely
226,S3L1,9/3/2020,23155,8,672,FVEF S3,23.16,elyely
227,S3L2,9/3/2020,23155,2,585,FVEF S3,21.48,elyely
228,S3L3,9/3/2020,23159,5,435,FVEF S3,32.07,elyely
229,S3L4,9/3/2020,23159,6,490,FVEF S3,35.07,elyely
230,S3L5,9/10/2020,23155,7,654,FVEF S3,25.63,elyely
231,S3L6,9/10/2020,23155,5,599,FVEF S3,23.96,elyely
232,S3L7,9/10/2020,23155,6,510,FVEF S3,20.27,elyely
233,S3L8,9/10/2020,23159,5,495,FVEF S3,22.8,elyely
234,S3L9,9/10/2020,23159,4,483,FVEF S3,17.19,elyely
235,S3L10,9/10/2020,23159,5,492,FVEF S3,20.53,elyely
236,S3XL1,9/3/2020,23155,16,666,FVEF S3,42.13,elyely
237,S3XL2,9/3/2020,23159,9,678,FVEF S3,43.72,elyely
238,S3XL3,9/10/2020,23155,13,704,FVEF S3,49.13,elyely
239,S3XL4,9/10/2020,23155,10,681,FVEF S3,45.57,elyely
240,S3XL5,9/10/2020,23159,7,655,FVEF S3,51.38,elyely
241,RTXS1,8/19/2019,30703,3,495,Reese Tank,1.663661,elyely
242,RTXS2,8/19/2019,30703,1,492,Reese Tank,0.509195,elyely
243,RTXS3,8/19/2019,30703,2,515,Reese Tank,1.670039,elyely
244,RTXS4,8/19/2019,30703,1,421,Reese Tank,0.569612,elyely
245,RTXS5,8/19/2019,30703,1,415,Reese Tank,0.707391,elyely
246,RTS1,8/19/2019,30703,6,653,Reese Tank,9.638262,elyely
247,RTS2,8/19/2019,30703,4,525,Reese Tank,4.684254,elyely
248,RTS3,8/19/2019,30703,4,413,Reese Tank,7.502188,elyely
249,RTS4,8/19/2019,30703,2,542,Reese Tank,5.780423,elyely
250,RTS5,8/19/2019,30703,1,410,Reese Tank,6.946923,elyely
251,RTS6,8/19/2019,30703,1,552,Reese Tank,2.60769,elyely
252,RTS7,8/19/2019,30703,2,395,Reese Tank,5.093732,elyely
253,RTS8,8/19/2019,30703,4,440,Reese Tank,6.30118,elyely
254,RTS9,8/19/2019,30703,3,553,Reese Tank,4.211527,elyely
255,RTS10,8/19/2019,30703,3,560,Reese Tank,11.51397,elyely
256,RTM1,8/19/2019,30703,1,540,Reese Tank,10.42725,elyely
257,RTM2,8/19/2019,30703,3,582,Reese Tank,18.87821,elyely
258,RTM3,8/19/2019,30703,4,495,Reese Tank,18.94304,elyely
259,RTM4,9/30/2020,30704,5,442,Reese Tank,22.11,elyely
260,RTM5,9/30/2020,30704,7,460,Reese Tank,18.39,elyely
261,RTM6,9/30/2020,30704,2,581,Reese Tank,7.21,elyely
262,RTM7,9/30/2020,30704,3,585,Reese Tank,12.5,elyely
263,RTM8,9/30/2020,30704,7,549,Reese Tank,15.11,elyely
264,RTM9,9/30/2020,30704,6,300,Reese Tank,9.49,elyely
266,RTL1,8/19/2019,30703,6,682,Reese Tank,54.29957,elyely
267,RTL2,8/19/2019,30703,5,497,Reese Tank,30.8618,elyely
268,RTL3,9/30/2020,30703,9,555,Reese Tank,54.91,elyely
269,RTL4,9/30/2020,30703,6,450,Reese Tank,61.76,elyely
270,RTL5,9/30/2020,30703,5,525,Reese Tank,19.69,elyely
271,RTL6,9/30/2020,30703,3,430,Reese Tank,16,elyely
272,RTL7,9/30/2020,30703,7,544,Reese Tank,40.93,elyely
273,RTL8,9/30/2020,30703,0,0,Reese Tank,31.09,elyely
274,RTL9,9/30/2020,30703,4,571,Reese Tank,34.49,elyely
275,RTL10,9/30/2020,30703,5,560,Reese Tank,26.2,elyely
276,RTXL1,8/19/2019,30703,18,800,Reese Tank,156.1601,elyely
277,RTXL2,8/19/2019,30703,10,530,Reese Tank,159.2884,elyely
278,RTXL3,9/30/2020,30703,14,570,Reese Tank,206.84,elyely
281,RLXS1,9/13/2019,30725,0,0,Rogers Lake,1.324819,elyely
282,RLXS2,8/31/2020,30730,1,511,Rogers Lake,0.39,elyely
283,RLXS3,8/31/2020,30730,1,540,Rogers Lake,0.8,elyely
284,RLXS4,8/31/2020,30730,1,403,Rogers Lake,0.55,elyely
285,RLXS5,8/31/2020,30730,1,519,Rogers Lake,0.9,elyely
286,RLS1,9/13/2019,30725,1,476,Rogers Lake,5.699091,elyely
287,RLS2,9/13/2019,30725,2,546,Rogers Lake,10.44225,elyely
288,RLS3,9/13/2019,30725,1,562,Rogers Lake,5.922648,elyely
289,RLS4,9/13/2019,30725,2,570,Rogers Lake,8.236666,elyely
290,RLS5,9/13/2019,30725,1,516,Rogers Lake,7.579276,elyely
291,RLS6,9/13/2019,30725,4,631,Rogers Lake,9.607532,elyely
292,RLS7,9/13/2019,30725,1,569,Rogers Lake,3.608329,elyely
293,RLS8,8/31/2020,30730,3,521,Rogers Lake,3.94,elyely
294,RLS9,8/31/2020,30730,2,334,Rogers Lake,2.72,elyely
295,RLS10,8/31/2020,30730,2,444,Rogers Lake,2.02,elyely
296,RLM1,9/13/2019,30725,4,475,Rogers Lake,19.56441,elyely
297,RLM2,9/13/2019,30725,5,667,Rogers Lake,24.1646,elyely
298,RLM3,9/13/2019,30725,7,595,Rogers Lake,22.99305,elyely
299,RLM4,8/31/2020,30730,7,642,Rogers Lake,10.86,elyely
300,RLM5,8/31/2020,30730,3,560,Rogers Lake,11.52,elyely
301,RLM6,8/31/2020,30730,2,503,Rogers Lake,22.57,elyely
302,RLM7,8/31/2020,30730,4,609,Rogers Lake,17.92,elyely
303,RLM8,8/31/2020,30730,6,519,Rogers Lake,11.81,elyely
304,RLM9,8/31/2020,30730,5,510,Rogers Lake,15.6,elyely
305,RLM10,8/31/2020,30730,2,558,Rogers Lake,10.31,elyely
306,RLL1,9/1/2020,30729,7,582,Rogers Lake,73.3,elyely
307,RLL2,9/1/2020,30729,1,364,Rogers Lake,76.74,elyely
308,RLL3,9/1/2020,30729,2,432,Rogers Lake,55.47,elyely
309,RLL4,9/1/2020,30729,5,535,Rogers Lake,32.46,elyely
310,RLL5,9/1/2020,30730,5,460,Rogers Lake,38.09,elyely
311,RLL6,9/1/2020,30730,8,469,Rogers Lake,47.46,elyely
312,RLL7,9/1/2020,30730,4,507,Rogers Lake,43.98,elyely
313,RLL8,9/1/2020,30730,4,577,Rogers Lake,69.88,elyely
314,RLL9,9/1/2020,30730,3,475,Rogers Lake,44.26,elyely
315,RLL10,9/1/2020,30730,5,580,Rogers Lake,43.11,elyely
316,RLXL1,9/1/2020,30729,14,425,Rogers Lake,142.67,elyely
317,RLXL2,9/1/2020,30730,5,520,Rogers Lake,93.75,elyely
318,RLXL3,9/1/2020,30730,3,530,Rogers Lake,95.35,elyely
319,RLXL4,9/1/2020,26370,14,554,Rogers Lake,131.53,elyely
320,RLXL5,9/1/2020,26370,8,510,Rogers Lake,121.87,elyely
321,GKXS1,?,105,0,0,Government Knolls,0.86,elyely
322,GKXS2,?,105,0,0,Government Knolls,0.94,elyely
323,GKXS3,?,105,0,0,Government Knolls,1.57,elyely
324,GKXS4,?,105,0,0,Government Knolls,0.22,elyely
325,GKXS5,?,105,0,0,Government Knolls,1.18,elyely
326,GKS1,?,105,1,430,Government Knolls,4.08,elyely
327,GKS2,?,105,0,0,Government Knolls,2.82,elyely
328,GKS3,?,105,1,504,Government Knolls,0.22,elyely
329,GKS4,?,105,0,0,Government Knolls,5.48,elyely
330,GKS5,?,105,0,0,Government Knolls,3.59,elyely
331,GKS6,?,105,2,442,Government Knolls,2.66,elyely
332,GKS7,?,105,1,512,Government Knolls,1.08,elyely
333,GKS8,?,105,1,410,Government Knolls,2.75,elyely
334,GKS9,?,105,2,600,Government Knolls,3.92,elyely
335,GKS10,?,105,0,0,Government Knolls,3.12,elyely
336,GKM1,?,105,2,570,Government Knolls,9.74,elyely
337,GKM2,?,105,1,433,Government Knolls,7.19,elyely
338,GKM3,?,105,1,470,Government Knolls,7.25,elyely
339,GKM4,?,105,0,0,Government Knolls,6.28,elyely
340,GKM5,?,105,2,532,Government Knolls,7.74,elyely
341,GKM6,?,105,0,0,Government Knolls,10.47,elyely
342,GKM7,?,105,2,567,Government Knolls,7.27,elyely
343,GKM8,?,105,0,0,Government Knolls,14.57,elyely
344,GKM9,?,105,2,470,Government Knolls,0.95,elyely
345,GKM10,?,105,1,509,Government Knolls,7.01,elyely
346,GKL1,?,105,1,440,Government Knolls,22.38,elyely
347,GKL2,?,105,2,500,Government Knolls,10.89,elyely
348,GKL3,?,105,1,560,Government Knolls,19.61,elyely
349,GKL4,?,105,2,532,Government Knolls,23.04,elyely
350,GKL5,?,105,1,502,Government Knolls,13.41,elyely
351,GKL6,?,105,6,593,Government Knolls,23.95,elyely
352,GKL7,?,105,1,540,Government Knolls,13.31,elyely
353,GKL8,?,105,2,531,Government Knolls,21.1,elyely
354,GKL9,?,105,4,563,Government Knolls,24.75,elyely
355,GKL10,?,105,3,543,Government Knolls,17.27,elyely
356,GKXL1,?,105,0,0,Government Knolls,106.17,elyely
357,GKXL2,?,105,3,740,Government Knolls,41.08,elyely
358,GKXL3,?,105,7,620,Government Knolls,52.75,elyely
359,GKXL4,?,105,4,560,Government Knolls,33.25,elyely
360,GKXL5,?,105,6,690,Government Knolls,70.53,elyely
361,KPXS1,9/7/2019,109,1,530,Kendrick Panel,1.174167,elyely
362,KPXS2,9/7/2019,109,0,0,Kendrick Panel,1.044441,elyely
363,KPXS3,9/7/2019,109,0,0,Kendrick Panel,0.961084,elyely
364,KPXS4,9/7/2019,109,0,0,Kendrick Panel,1.183325,elyely
365,KPXS5,9/7/2019,109,0,0,Kendrick Panel,0.919366,elyely
366,KPS1,9/7/2019,110,3,565,Kendrick Panel,7.735566,elyely
367,KPS2,9/7/2019,110,2,542,Kendrick Panel,5.435361,elyely
368,KPS3,9/7/2019,109,3,670,Kendrick Panel,17.49759,elyely
369,KPS4,9/7/2019,109,1,574,Kendrick Panel,4.519124,elyely
370,KPS5,9/7/2019,109,2,698,Kendrick Panel,10.20649,elyely
371,KPS6,9/7/2019,109,3,765,Kendrick Panel,13.37249,elyely
372,KPS7,9/7/2019,109,1,308,Kendrick Panel,4.699628,elyely
373,KPS8,9/7/2019,109,1,649,Kendrick Panel,7.592842,elyely
374,KPS9,9/7/2019,109,2,634,Kendrick Panel,8.413861,elyely
375,KPS10,9/7/2019,109,2,640,Kendrick Panel,5.792557,elyely
376,KPM1,9/7/2019,108,5,771,Kendrick Panel,30.40459,elyely
377,KPM2,9/7/2019,108,4,630,Kendrick Panel,24.04376,elyely
378,KPM3,9/7/2019,107,5,717,Kendrick Panel,182.6092,elyely
379,KPM4,9/7/2019,107,7,662,Kendrick Panel,301.1622,elyely
380,KPM5,9/7/2019,107,6,830,Kendrick Panel,310.9074,elyely
381,KPM6,9/7/2019,107,6,652,Kendrick Panel,206.4145,elyely
382,KPM7,9/7/2019,107,5,680,Kendrick Panel,230.7423,elyely
383,KPM8,9/7/2019,107,8,686,Kendrick Panel,202.1534,elyely
384,KPM9,10/10/2020,108,8,510,Kendrick Panel,13.75,elyely
385,KPM10,10/10/2020,108,10,633,Kendrick Panel,10.92,elyely
386,KPL1,10/10/2020,108,7,752,Kendrick Panel,26.53,elyely
387,KPL2,10/10/2020,108,6,652,Kendrick Panel,20.28,elyely
388,KPL3,10/10/2020,109,8,600,Kendrick Panel,22.68,elyely
389,KPL4,10/10/2020,109,5,588,Kendrick Panel,41.63,elyely
390,KPL5,10/10/2020,109,2,620,Kendrick Panel,31.45,elyely
391,KPL6,10/10/2020,109,4,592,Kendrick Panel,33.29,elyely
392,KPL7,10/10/2020,109,6,602,Kendrick Panel,21.76,elyely
393,KPL8,10/10/2020,109,7,627,Kendrick Panel,35.28,elyely
394,KPL9,10/10/2020,109,10,663,Kendrick Panel,31.63,elyely
395,KPL10,10/10/2020,109,3,602,Kendrick Panel,31.91,elyely
396,KPXL1,10/10/2020,108,12,894,Kendrick Panel,63.07,elyely
397,KPXL2,10/10/2020,109,13,720,Kendrick Panel,82.52,elyely
401,SIXS1,8/20/2020,120,0,0,SI panel,1.31,elyely
402,SIXS2,8/20/2020,120,0,0,SI panel,1.09,elyely
403,SIXS3,8/20/2020,120,0,0,SI panel,0.33,elyely
404,SIXS4,8/20/2020,120,0,0,SI panel,0.2,elyely
405,SIXS5,8/20/2020,120,0,0,SI panel,1.33,elyely
406,SIS1,8/20/2020,120,2,522,SI panel,5.02,elyely
407,SIS2,8/20/2020,120,1,344,SI panel,2.12,elyely
408,SIS3,8/20/2020,120,0,0,SI panel,3.39,elyely
409,SIS4,8/20/2020,120,0,0,SI panel,2.51,elyely
410,SIS5,8/20/2020,120,1,502,SI panel,2.95,elyely
411,SIS6,8/20/2020,120,1,394,SI panel,6.76,elyely
412,SIS7,8/20/2020,120,0,0,SI panel,3.47,elyely
